L,ell,j,m2_mean,m2_sem,n_init,n_input
2,0,0,1.6105910148262324e-32,2.1749688125288846e-33,30,5
2,0,1,1.5202007027696582e-32,2.1449766330927038e-33,30,5
2,0,2,1.470896896193345e-32,2.286945975175409e-33,30,5
2,0,3,1.396941186328875e-32,2.1958712889167443e-33,30,5
2,0,4,1.4215930896170317e-32,2.0553838749609625e-33,30,5
2,0,5,1.388723885232823e-32,2.0439751825649858e-33,30,5
2,0,6,1.158639454543361e-32,1.951884013642243e-33,30,5
2,0,7,1.1750740567354655e-32,1.9695884347093068e-33,30,5
2,1,0,1.9392830586683206e-32,2.2438866449812552e-33,30,5
2,1,1,1.2243778633117787e-32,1.6674000507386486e-33,30,5
2,1,2,1.1915086589275699e-32,1.769920007023859e-33,30,5
2,1,3,1.2243778633117787e-32,1.7855212801232013e-33,30,5
2,1,4,1.0025107337183692e-32,1.6628686017356195e-33,30,5
2,1,5,1.0435972391986302e-32,1.6805571001786156e-33,30,5
2,1,6,1.306550874272301e-32,1.78831100031785e-33,30,5
2,1,7,1.232595164407831e-32,1.7606138632671752e-33,30,5
3,0,0,2.3193332343607351e-32,2.9003315456672306e-33,30,5
3,0,1,1.6229169664703107e-32,2.2216463622535766e-33,30,5
3,0,2,1.5119834016736058e-32,2.0760660484273763e-33,30,5
3,0,3,1.440082017083149e-32,1.980582628363929e-33,30,5
3,0,4,1.7564481092811592e-32,2.0757392720285813e-33,30,5
3,0,5,1.6311342675663628e-32,2.0470491768427205e-33,30,5
3,0,6,1.9372287333943078e-32,2.2619508168481236e-33,30,5
3,0,7,1.8550557224337854e-32,2.1836097515470434e-33,30,5
3,1,0,0.00013048590923999198,1.3248488507395559e-05,30,5
3,1,1,0.00013048590923999157,1.324848850739563e-05,30,5
3,1,2,1.2038346105716482e-32,1.485885172962786e-33,30,5
3,1,3,1.2120519116677004e-32,1.483687613424583e-33,30,5
3,1,4,1.1380962018032306e-32,1.8241270625244442e-33,30,5
3,1,5,1.1627481050913872e-32,1.8192760822250275e-33,30,5
3,1,6,1.1606937798173741e-32,1.532633992911343e-33,30,5
3,1,7,1.1031726721450087e-32,1.478122894438742e-33,30,5
3,2,0,0.0001304859092399916,1.324848850739562e-05,30,5
3,2,1,0.0001304859092399911,1.324848850739556e-05,30,5
3,2,2,7.149051953565419e-33,1.1283374185880062e-33,30,5
3,2,3,7.149051953565419e-33,1.1283374185880062e-33,30,5
3,2,4,7.436657491927247e-33,1.0107009079858168e-33,30,5
3,2,5,8.915771689216644e-33,1.243967872158195e-33,30,5
3,2,6,9.265006985798863e-33,1.2764505982637085e-33,30,5
3,2,7,8.258387601532468e-33,1.0751207503448625e-33,30,5
4,0,0,1.627025617018337e-32,1.8844261542673335e-33,30,5
4,0,1,1.4873314983854495e-32,1.8483748799450133e-33,30,5
