n,L,sector_r,channel,gL,gamma,lambda_coh,gL_lambda,n_init,n_input,n_pairs,m2_baseline,m2_baseline_sem,m2_mean,m2_sem,ratio_paired,ratio_paired_sem,delta_tilde,delta_tilde_sem,D_M,log_D_M,omega_eff_linear,omega_eff,elapsed_s,gamma_L
8,4,1,amp_damp,0.001,0.00025,0.99999999999989,0.0009999999999998,40,4,160,0.036446835952738,0.0026441362814121,0.0363740060309145,0.0026388526337748,0.9980017491252738,3.5297649399854153e-16,0.0019982508747261,3.529749457504704e-16,0.002000250041674,-6.2144830853996345,0.999125437363196,1.000125020837121,75.19402146339417,0.001
8,4,1,amp_damp,0.003,0.00075,0.99999999999989,0.0029999999999996,40,4,160,0.0253544528480388,0.0025007513879372,0.0252027248651452,0.0024857862074191,0.9940157263971354,7.894006639820213e-16,0.0059842736028645,7.89379918393353e-16,0.0060022511256329,-5.115620692513866,0.9973789338108604,1.0003751876055966,74.23649597167969,0.003
8,4,1,amp_damp,0.005,0.00125,0.99999999999989,0.0049999999999994,40,4,160,0.0294925447391526,0.0026213710954781,0.0291989063698815,0.0025952717832438,0.9900436407957276,5.846005844088919e-16,0.0099563592042722,5.844959404008423e-16,0.010006255213221,-4.6045448602229,0.9956359204273358,1.0006255213222182,74.2484393119812,0.005
8,4,1,amp_damp,0.01,0.0025,0.99999999999989,0.0099999999999989,40,4,160,0.0320473845759067,0.0027544910033425,0.0314120172226824,0.0026998808165384,0.9801741277289124,2.98849973694226e-16,0.0198258722710873,2.985255221332802e-16,0.0200250417449489,-3.910771701388244,0.9912936135544784,1.0012520872475552,74.0949068069458,0.01
8,4,1,amp_damp,0.02,0.005,0.99999999999989,0.0199999999999978,40,4,160,0.0243762784676481,0.0022767533352137,0.0234181211521273,0.002187261091077,0.9606930435754356,6.7834175966772e-16,0.0393069564245643,6.7832301014967245e-16,0.0401003345883554,-3.21637060085516,0.9826739106142168,1.0025083647089967,75.36287450790405,0.02
8,4,1,amp_damp,0.03,0.0075,0.99999999999989,0.0299999999999967,40,4,160,0.0304890140661931,0.0023004959427425,0.0287069798288933,0.0021660356245494,0.9415515951604424,3.1516204008288947e-16,0.0584484048395576,3.148644245971389e-16,0.0602261313663314,-2.809648944998348,0.9741400806594014,1.0037688561056353,73.58409762382507,0.03
8,4,1,amp_damp,0.05,0.0125,0.99999999999989,0.0499999999999945,40,4,160,0.028759794166268,0.0023291266381739,0.0260065419082311,0.002106153096057,0.9042673170009636,2.098310502395332e-15,0.0957326829990363,2.0982620983473127e-15,0.1006302576548791,-2.296302294622016,0.9573268299904684,1.0063025765489022,72.51476216316223,0.05
8,4,1,depol,0.001,0.00025,6.647586339771916,0.0066475863397719,40,4,160,0.0276545344169897,0.0022547447789653,0.0273246814183858,0.0022278510220424,0.9880723720157356,1.2553053492682709e-15,0.0119276279842642,1.25527130652103e-15,0.0119993328889223,-4.42290422332927,0.8971397567943074,0.9025330605434462,103.11771416664124,0.001
8,4,1,depol,0.003,0.00075,6.647586339771916,0.0199427590193157,40,4,160,0.0228580594486367,0.0018741673319375,0.0220499377387483,0.0018079081942226,0.9646460929150916,5.371092801042708e-16,0.0353539070849082,5.368133192921627e-16,0.0359939880030156,-3.324403354388298,0.886384553177068,0.9024325061580828,103.64864993095398,0.003
8,4,1,depol,0.005,0.00125,6.647586339771916,0.0332379316988595,40,4,160,0.0269330868676125,0.0019275310172228,0.0253650501477265,0.0018153107051368,0.9417802820897004,3.6102116198529936e-16,0.0582197179102995,3.609459151195144e-16,0.0599832778011745,-2.8136894589187804,0.8758023579472171,0.902331684543906,105.00511860847472,0.005
