r,n,L,channel,gamma_L,gamma,lambda_coh,gL_lam,m2_zero,m2_noise,delta_tilde,delta_tilde_low,delta_tilde_high,D_M,D_M_low,D_M_high,ell_act,j_act,n_samples,wallclock_s
2,8,3,amp_damp,0.005,0.0016666666666666668,1.998999999999862,0.00999499999999931,0.02001856680004899,0.019621845221603314,0.01981768137590678,0.019817681375904103,0.019817681375909113,0.020016685208364807,0.020016685208362178,0.0200166852083672,0,0,160,53.844871044158936
2,8,3,amp_damp,0.01,0.0033333333333333335,1.998999999999862,0.01998999999999862,0.02001856680004899,0.019232342512976647,0.03927475402836633,0.039274754028363335,0.03927475402836944,0.04006681518617624,0.04006681518617304,0.040066815186179446,0,0,160,51.1698784828186
2,8,3,amp_damp,0.03,0.01,1.998999999999862,0.05996999999999586,0.02001856680004899,0.017744154765002185,0.11361512828387088,0.11361512828386831,0.11361512828387488,0.12060403024201762,0.12060403024201465,0.12060403024202195,0,0,160,52.59729361534119
2,8,3,amp_damp,0.05,0.016666666666666666,1.998999999999862,0.0999499999999931,0.02001856680004899,0.01636221581664958,0.18264798973473273,0.18264798973472784,0.18264798973473528,0.20168541979657942,0.20168541979657342,0.2016854197965825,0,0,160,52.524712324142456
2,8,3,amp_damp,0.1,0.03333333333333333,1.998999999999862,0.1998999999999862,0.02001856680004899,0.0133276598388975,0.33423506427718475,0.33423506427718364,0.3342350642771863,0.4068186201081772,0.40681862010817554,0.4068186201081797,0,0,160,51.42696785926819
2,8,3,amp_damp,0.25,0.08333333333333333,1.998999999999862,0.4997499999999655,0.02001856680004899,0.00704644799272619,0.6480043719858634,0.648004371985862,0.6480043719858641,1.0441365238755584,1.0441365238755547,1.0441365238755607,0,0,160,53.95173525810242
2,8,3,dephase,0.005,0.0016666666666666668,7.976031983999987,0.039880159919999936,0.02001856680004899,0.01993866149790218,0.003991559582907533,-0.007489346517167039,0.02321204783009212,0.003999547119095687,-0.007461440606284947,0.023485690240096974,0,0,160,51.12061405181885
2,8,3,dephase,0.01,0.0033333333333333335,7.976031983999987,0.07976031983999987,0.02001856680004899,0.019819401328487887,0.00994903748856868,-0.015023124435132207,0.04477506442478152,0.009998859894137265,-0.01491139492894068,0.04580843699855397,0,0,160,53.77491354942322
2,8,3,dephase,0.03,0.01,7.976031983999987,0.23928095951999961,0.02001856680004899,0.019280711048207368,0.03685857030683226,-0.0407710485350399,0.12231490588594567,0.03755501431927193,-0.0399615563668237,0.13046777051547595,0,0,160,51.623491287231445
2,8,3,dephase,0.05,0.016666666666666666,7.976031983999987,0.39880159919999936,0.02001856680004899,0.018615254090596715,0.07010055832013118,-0.03911492576506694,0.1812381934646461,0.07267882590695277,-0.038369226273222506,0.19996207194079324,0,0,160,54.26835012435913
2,8,3,dephase,0.1,0.03333333333333333,7.976031983999987,0.7976031983999987,0.02001856680004899,0.017068381637106885,0.14737244640984415,-0.0018874471652980767,0.2924868962428145,0.15943245803721182,-0.0018855334892644723,0.34599923891452883,0,0,160,51.32345175743103
2,8,3,dephase,0.25,0.08333333333333333,7.976031983999987,1.9940079959999968,0.02001856680004899,0.014011861285698188,0.30005672106037595,0.029025708172762087,0.4417452957764233,0.35675597730809855,0.029455582873386812,0.5829468871412903,0,0,160,54.325852155685425
2,8,3,depol,0.005,0.0016666666666666668,7.972497714418991,0.039862488572094956,0.02001856680004899,0.01895600133782904,0.05307899775409253,0.04946638850578844,0.059246573801845524,0.0545396082345287,0.05073175577017899,0.061074228817884976,0,0,160,75.76611733436584
2,8,3,depol,0.01,0.0033333333333333335,7.972497714418991,0.07972497714418991,0.02001856680004899,0.017954055041057758,0.10312984838585848,0.096281272048935,0.11478559326100908,0.10884418591452835,0.1012371086516176,0.1219254817807128,0,0,160,75.22317290306091
2,8,3,depol,0.03,0.01,7.972497714418991,0.23917493143256974,0.02001856680004899,0.01445487901050227,0.2779263793016943,0.2598913591104952,0.30331288922417754,0.32562817756148094,0.3009582915469061,0.36141888266825334,0,0,160,75.48822116851807
2,8,3,depol,0.05,0.016666666666666666,7.972497714418991,0.39862488572094956,0.02001856680004899,0.011637175825773727,0.4186808705134052,0.3915994835245482,0.4499850246600554,0.5424553967024185,0.49692186968964797,0.5978097845047737,0,0,160,74.78868556022644
2,8,3,depol,0.1,0.03333333333333333,7.972497714418991,0.7972497714418991,0.02001856680004899,0.006960300817826266,0.6523077357461358,0.6216566469157203,0.6877590634502802,1.056437488550981,0.9719532088963109,1.163980156911899,0,0,160,76.42842817306519
2,8,3,depol,0.25,0.08333333333333333,7.972497714418991,1.9931244286047478,0.02001856680004899,0.0016751670443590112,0.9163193318936842,0.9039254855567891,0.930412576308134,2.480747294635306,2.342631228930948,2.665171647961809,0,0,160,75.13317012786865
3,6,2,amp_damp,0.005,0.0025,2.997000999999888,0.01498500499999944,0.031319183665307025,0.03039242026208642,0.02959091824118021,0.0295909182411791,0.029590918241182887,0.030037562617421406,0.03003756261742033,0.03003756261742422,0,5,160,3.0428247451782227
3,6,2,amp_damp,0.01,0.005,2.997000999999888,0.02997000999999888,0.031319183665307025,0.02949085763319325,0.058377193085624834,0.05837719308562339,0.058377193085627166,0.06015050188253207,0.060150501882530606,0.06015050188253458,0,5,160,6.394829034805298
3,6,2,amp_damp,0.03,0.015,2.997000999999888,0.08991002999999664,0.031319183665307025,0.026124332317572063,0.16586803165912078,0.16586803165912056,0.165868031659124,0.18136365372057536,0.18136365372057536,0.18136365372057925,0,5,160,3.023751974105835
3,6,2,amp_damp,0.05,0.025,2.997000999999888,0.1498500499999944,0.031319183665307025,0.02311350573763766,0.26200165417334886,0.26200165417334764,0.26200165417335064,0.30381369581147843,0.30381369581147694,0.3038136958114809,0,5,160,3.053389310836792
3,6,2,amp_damp,0.1,0.05,2.997000999999888,0.2997000999999888,0.031319183665307025,0.01692363683090753,0.4596399123373631,0.4596399123373627,0.4596399123373647,0.6155195326506065,0.6155195326506057,0.6155195326506095,0,5,160,3.249389410018921
