channel,channel_type,n,L,r,gamma_L,gamma,lambda_coh,lambda_coh_typical,gL_lam,m2_zero,m2_noise,delta_tilde,delta_tilde_low,delta_tilde_high,D_M,D_M_low,D_M_high,n_samples,wallclock_s
inhom_dephase,anisotropic,8,3,1,0.01,0.0033333333333333,3.996,3.996,0.03996,6.449961267816998e-05,6.255986364208456e-05,0.0300738090593516,0.030073809059258,0.0300738090594574,0.030535302193602,0.0305353021935055,0.0305353021937112,160,54.808000802993774
inhom_dephase,anisotropic,8,3,1,0.03,0.01,3.996,3.996,0.11988,6.449961267816998e-05,5.8832582776099495e-05,0.0878614563214036,0.0878614563212957,0.0878614563214612,0.0919633885169686,0.0919633885168504,0.091963388517032,160,53.69812870025635
inhom_dephase,anisotropic,8,3,1,0.05,0.0166666666666666,3.996,3.996,0.1998,6.449961267816998e-05,5.530065530199709e-05,0.1426203506379549,0.1426203506378649,0.1426203506379924,0.1538744603903071,0.153874460390202,0.1538744603903507,160,52.82456564903259
inhom_dephase,anisotropic,8,3,1,0.1,0.0333333333333333,3.996,3.996,0.3996,6.449961267816998e-05,4.726842483161251e-05,0.2671518034152381,0.267151803415147,0.2671518034152889,0.3108166973363598,0.3108166973362353,0.3108166973364291,160,51.37925744056702
inhom_dephase,anisotropic,8,3,1,0.25,0.0833333333333333,3.996,3.996,0.999,6.449961267816998e-05,2.8942148828589974e-05,0.5512818197374152,0.5512818197373738,0.5512818197374594,0.8013602491865508,0.8013602491864585,0.8013602491866493,160,53.61269807815552
inhom_dephase,anisotropic,8,3,1,0.5,0.1666666666666666,3.996,3.996,1.998,6.449961267816998e-05,1.1854704160190117e-05,0.8162050333644505,0.8162050333644287,0.8162050333644648,1.6939344544434185,1.6939344544432997,1.6939344544434962,160,51.59597659111023
site_amp_damp,anisotropic,8,3,1,0.01,0.0033333333333333,1.0,1.0,0.01,6.449961267816998e-05,6.376596827121689e-05,0.0113744001939005,0.0113744001938431,0.0113744001939737,0.0114395834353436,0.0114395834352855,0.0114395834354178,160,53.5334780216217
site_amp_damp,anisotropic,8,3,1,0.03,0.01,1.0,1.0,0.03,6.449961267816998e-05,6.231948503992169e-05,0.0338006314724143,0.0338006314723618,0.0338006314725516,0.0343850804248825,0.0343850804248284,0.0343850804250247,160,51.197163343429565
site_amp_damp,anisotropic,8,3,1,0.05,0.0166666666666666,1.0,1.0,0.05,6.449961267816998e-05,6.090039272959693e-05,0.055802194759399,0.0558021947593373,0.0558021947594905,0.0574195953371714,0.0574195953371062,0.0574195953372683,160,54.48596739768982
site_amp_damp,anisotropic,8,3,1,0.1,0.0333333333333333,1.0,1.0,0.1,6.449961267816998e-05,5.746978116750131e-05,0.1089902903098816,0.1089902903098071,0.1089902903099614,0.1153999540509315,0.115399954050848,0.1153999540510211,160,51.398343324661255
site_amp_damp,anisotropic,8,3,1,0.25,0.0833333333333333,1.0,1.0,0.25,6.449961267816998e-05,4.81268439275473e-05,0.2538429003026257,0.2538429003025652,0.2538429003026775,0.2928191115425447,0.2928191115424637,0.2928191115426142,160,54.56139063835144
site_amp_damp,anisotropic,8,3,1,0.5,0.1666666666666666,1.0,1.0,0.5,6.449961267816998e-05,3.536816695726245e-05,0.4516530334261545,0.4516530334261225,0.4516530334262028,0.6008470417072493,0.6008470417071912,0.6008470417073374,160,51.37678360939026
biased_pauli,anisotropic,8,3,1,0.01,0.0033333333333333,6.0,6.0,0.06,6.449961267816998e-05,5.614975018523093e-05,0.1294560098306617,0.1294498953779266,0.1294568588468975,0.1386369866804206,0.1386299629902555,0.1386379619518135,160,74.94818305969238
biased_pauli,anisotropic,8,3,1,0.03,0.01,6.0,6.0,0.18,6.449961267816998e-05,4.256111459811145e-05,0.3401337956791119,0.340091403891211,0.3401396818651442,0.4157181852382168,0.4156539442966536,0.4157271055500119,160,75.32797861099243
biased_pauli,anisotropic,8,3,1,0.05,0.0166666666666666,6.0,6.0,0.3,6.449961267816998e-05,3.2270377365606456e-05,0.4996810674410696,0.4995903154960801,0.4996936681694522,0.6925095187915704,0.6923281470516383,0.6925347045006098,160,75.38436460494995
biased_pauli,anisotropic,8,3,1,0.1,0.0333333333333333,6.0,6.0,0.6000000000000001,6.449961267816998e-05,1.6178776463870505e-05,0.7491647501110306,0.7489750425630949,0.7491910868972738,1.3829589303030398,1.3822029127738464,1.3830639321677496,160,75.03687310218811
biased_pauli,anisotropic,8,3,1,0.25,0.0833333333333333,6.0,6.0,1.5,6.449961267816998e-05,2.078373537889849e-06,0.9677769609523054,0.9676239499928252,0.967821585455246,3.435073583903097,3.4303363268343148,3.4364594069736336,160,75.23165154457092
biased_pauli,anisotropic,8,3,1,0.5,0.1666666666666666,6.0,6.0,3.0,6.449961267816998e-05,7.573116939685212e-08,0.9988258662920236,0.9988089558793688,0.9988453177929988,6.747224673110499,6.732924944264724,6.763930118321459,160,74.77608585357666
corr_dephase,anisotropic,8,3,1,0.01,0.0033333333333333,4.5,4.5,0.045,6.449961267816998e-05,6.449961267816843e-05,2.398081733190338e-14,-4.0945025148175774e-14,1.6764367671839866e-13,2.398081733190309e-14,-4.1050496335516e-14,1.676436767183846e-13,160,40.79344177246094
corr_dephase,anisotropic,8,3,1,0.03,0.01,4.5,4.5,0.135,6.449961267816998e-05,6.449961267816888e-05,1.6986412276764895e-14,-4.4597658899192543e-14,1.0491607582707729e-13,1.7097434579227266e-14,-4.4705905644094496e-14,1.0480505352460929e-13,160,39.47144365310669
corr_dephase,anisotropic,8,3,1,0.05,0.0166666666666666,4.5,4.5,0.225,6.449961267816998e-05,6.449961267817043e-05,-6.8833827526759706e-15,-5.1308957083051613e-14,9.581224702515101e-14,-6.883382752675994e-15,-5.141720382795388e-14,9.570122472268392e-14,160,38.905845165252686
corr_dephase,anisotropic,8,3,1,0.1,0.0333333333333333,4.5,4.5,0.45,6.449961267816998e-05,6.449961267816843e-05,2.398081733190338e-14,-4.440892098500626e-14,1.0491607582707729e-13,2.398081733190309e-14,-4.4519943287469774e-14,1.0480505352460929e-13,160,40.813525915145874
corr_dephase,anisotropic,8,3,1,0.25,0.0833333333333333,4.5,4.5,1.125,6.449961267816998e-05,6.449961267816843e-05,2.398081733190338e-14,-4.0945025148175774e-14,1.0491607582707729e-13,2.398081733190309e-14,-4.1050496335516e-14,1.0480505352460929e-13,160,38.38071751594544
corr_dephase,anisotropic,8,3,1,0.5,0.1666666666666666,4.5,4.5,2.25,6.449961267816998e-05,6.449961267816888e-05,1.6986412276764895e-14,-4.0945025148175774e-14,9.582612481295882e-14,1.7097434579227266e-14,-4.1050496335516e-14,9.571787806805329e-14,160,40.17637252807617
coh_diss_mix,anisotropic,8,3,1,0.01,0.0033333333333333,1.5,1.5,0.015,6.449961267816998e-05,6.322032270184258e-05,0.0198340722247527,0.0198340722246123,0.0198340722248394,0.0200334075931518,0.0200334075930085,0.0200334075932403,160,60.55586576461792
coh_diss_mix,anisotropic,8,3,1,0.03,0.01,1.5,1.5,0.045,6.449961267816998e-05,6.072510498054796e-05,0.0585198505990331,0.0585198505988096,0.0585198505992015,0.0603020151210439,0.0603020151208065,0.0603020151212227,160,61.14917516708374
coh_diss_mix,anisotropic,8,3,1,0.05,0.0166666666666666,1.5,1.5,0.075,6.449961267816998e-05,5.83125017661762e-05,0.0959247762132348,0.0959247762128873,0.0959247762133719,0.1008427098983984,0.1008427098980141,0.10084270989855,160,61.24305582046509
coh_diss_mix,anisotropic,8,3,1,0.1,0.0333333333333333,1.5,1.5,0.15,6.449961267816998e-05,5.262808479621973e-05,0.1840558010973637,0.1840558010973237,0.1840558010975332,0.2034093100540513,0.2034093100540023,0.2034093100542591,160,61.20399808883667
coh_diss_mix,anisotropic,8,3,1,0.25,0.0833333333333333,1.5,1.5,0.375,6.449961267816998e-05,3.826711674802797e-05,0.4067078055341633,0.4067078055340383,0.4067078055342084,0.522068261937848,0.5220682619376374,0.5220682619379241,160,62.15742874145508
coh_diss_mix,anisotropic,8,3,1,0.5,0.1666666666666666,1.5,1.5,0.75,6.449961267816998e-05,2.1600789782586413e-05,0.6651020233196339,0.6651020233195893,0.6651020233196805,1.0939293407637816,1.0939293407636486,1.0939293407639208,160,63.30779957771301
biased_pauli,anisotropic,8,3,1,0.01,0.0033333333333333335,6.0,6.0,0.06,6.449961267816998e-05,5.614975018523093e-05,0.12945600983066174,0.12944989537792662,0.1294568588468975,0.13863698668042065,0.1386299629902555,0.13863796195181358,160,75.05183672904968
biased_pauli,anisotropic,8,3,1,0.03,0.01,6.0,6.0,0.18,6.449961267816998e-05,4.256111459811145e-05,0.34013379567911195,0.34009140389121106,0.3401396818651442,0.41571818523821685,0.41565394429665364,0.41572710555001197,160,76.05296778678894
biased_pauli,anisotropic,8,3,1,0.05,0.016666666666666666,6.0,6.0,0.30000000000000004,6.449961267816998e-05,3.2270377365606456e-05,0.49968106744106966,0.4995903154960801,0.4996936681694522,0.6925095187915704,0.6923281470516383,0.6925347045006098,160,75.92671918869019
biased_pauli,anisotropic,8,3,1,0.1,0.03333333333333333,6.0,6.0,0.6000000000000001,6.449961267816998e-05,1.6178776463870505e-05,0.7491647501110306,0.7489750425630949,0.7491910868972738,1.3829589303030398,1.3822029127738464,1.3830639321677496,160,75.66916966438293
biased_pauli,anisotropic,8,3,1,0.25,0.08333333333333333,6.0,6.0,1.5,6.449961267816998e-05,2.078373537889849e-06,0.9677769609523054,0.9676239499928252,0.9678215854552459,3.435073583903097,3.4303363268343148,3.4364594069736336,160,75.82658362388611
biased_pauli,anisotropic,8,3,1,0.5,0.16666666666666666,6.0,6.0,3.0,6.449961267816998e-05,7.573116939685212e-08,0.9988258662920237,0.9988089558793688,0.9988453177929989,6.747224673110499,6.732924944264724,6.763930118321459,160,75.46656537055969
