channel,type,gamma_L,lambda_coh,delta_tilde,omega,sigma_min,norm_A_offdiag
amp_damp,empirical,0.001,0.99999999999989,0.0019982508747261,0.99912543736316,,
amp_damp,empirical,0.003,0.99999999999989,0.0059842736028645,0.9973789338108596,,
amp_damp,empirical,0.005,0.99999999999989,0.0099563592042722,0.9956359204273294,,
amp_damp,empirical,0.01,0.99999999999989,0.0198258722710873,0.991293613554474,,
amp_damp,empirical,0.02,0.99999999999989,0.0393069564245643,0.9826739106142155,,
amp_damp,empirical,0.03,0.99999999999989,0.0584484048395576,0.9741400806594005,,
amp_damp,empirical,0.05,0.99999999999989,0.0957326829990363,0.9573268299904683,,
dephase,empirical,0.001,3.995999999999889,0.0039930069956238,0.49962549995294175,,
dephase,empirical,0.003,3.995999999999889,0.0119371886460603,0.4978807409935198,,
dephase,empirical,0.005,3.995999999999889,0.0198258722710923,0.49614294972704825,,
dephase,empirical,0.01,3.995999999999889,0.0393069564244927,0.49182878409026265,,
dephase,empirical,0.02,3.995999999999889,0.0772553055720861,0.48332898881436587,,
dephase,empirical,0.03,3.995999999999889,0.1138854984574211,0.4749979081474152,,
dephase,empirical,0.05,3.995999999999889,0.1833481963377354,0.4588293201645157,,
depol,empirical,0.001,6.647586339771916,0.0119276279842642,0.8971397567943018,,
depol,empirical,0.003,6.647586339771916,0.0353539070849082,0.8863845531770664,,
depol,empirical,0.005,6.647586339771916,0.0582197179102995,0.8758023579472165,,
depol,empirical,0.01,6.647586339771916,0.1130200394050678,0.8500832755558133,,
depol,empirical,0.02,6.647586339771916,0.2131595507451865,0.8016426558835044,,
depol,empirical,0.03,6.647586339771916,0.3018965876300932,0.7569077762452237,,
depol,empirical,0.05,6.647586339771916,0.4502425149618867,0.677302244678081,,
x_err,empirical,0.001,7.973049945035338,0.0158706899412984,0.995270947172529,,
x_err,empirical,0.003,7.973049945035338,0.046848294201512,0.9793051702187383,,
x_err,empirical,0.005,7.973049945035338,0.0768344760811771,0.9636773456940456,,
x_err,empirical,0.01,7.973049945035338,0.1476932829962664,0.9262031720259832,,
x_err,empirical,0.02,7.973049945035338,0.2732091697082118,0.8566645499265115,,
x_err,empirical,0.03,7.973049945035338,0.3798130671907201,0.7939518540773353,,
x_err,empirical,0.05,7.973049945035338,0.5418074295667977,0.6795485207065216,,
amp_damp,operator_level,,,,0.0,0.9990000000000001,2.8127472372926974
dephase,operator_level,,,,0.0,0.9960040000000002,2.8127472372926974
depol,operator_level,,,,0.5090980656923754,0.9933524136602281,2.8127472372926974
x_err,operator_level,,,,6.053213042148201e-12,0.9920269500549648,2.8127472372926974
