ansatz,n,L,r,channel,gamma_L,gamma,lambda_coh,gL_lam,m2_zero,m2_noise,D_M,D_M_lo95,D_M_hi95,delta_tilde,delta_tilde_low,delta_tilde_high,ell_act,j_act,n_samples,wallclock_s
HEA,8,3,1,amp_damp,0.01,0.0033333333333333335,0.9999999999998899,0.009999999999998899,0.0005542401472989967,0.0005467444940576511,0.01361648250599244,0.013233667868566728,0.013744548767383943,0.01352419754843548,0.013146487880008603,0.013650523727175234,1,0,160,59.982810258865356
HEA,8,3,1,amp_damp,0.03,0.01,0.9999999999998899,0.029999999999996696,0.0005542401472989967,0.0005319827767684254,0.040986957379373724,0.039834503919712536,0.04137214864554678,0.040158351283354654,0.03905154080328142,0.04052800270552914,1,0,160,58.96156096458435
HEA,8,3,1,amp_damp,0.05,0.016666666666666666,0.9999999999998899,0.04999999999999449,0.0005542401472989967,0.0005175236474705602,0.06854285201071426,0.06661534439836957,0.06918650608295929,0.0662465539664866,0.06444500139583041,0.06684737479337022,1,0,160,57.859315156936646
HEA,8,3,1,amp_damp,0.1,0.03333333333333333,0.9999999999998899,0.09999999999998899,0.0005542401472989967,0.0004826720912844038,0.1382605486382124,0.1343711522417687,0.13955632975955978,0.1291282422671267,0.12573448122809006,0.13025597064754657,1,0,160,58.16540789604187
HEA,8,3,1,amp_damp,0.25,0.08333333333333333,0.9999999999998899,0.24999999999997247,0.0005542401472989967,0.000388663520510398,0.3548840882336326,0.3448697335512715,0.3581900406617969,0.2987452778285923,0.2916873831725568,0.30105976468042217,1,0,160,58.88097834587097
HEA,8,3,1,amp_damp,0.5,0.16666666666666666,0.9999999999998899,0.49999999999994493,0.0005542401472989967,0.0002634531847415265,0.7437223865198282,0.7224670643135378,0.7505783184785503,0.5246587855004284,0.5144471130916276,0.5279065465882786,1,0,160,58.85007119178772
HEA,8,3,1,dephase,0.01,0.0033333333333333335,3.9959999999999996,0.039959999999999996,0.0005542401472989967,0.0005543654301649861,-0.00022601882774103202,-0.0005503563373275941,0.0010931513139571297,-0.00022604437192064175,-0.0005505079075309615,0.0010925490371072664,1,0,160,58.87192368507385
HEA,8,3,1,dephase,0.03,0.01,3.9959999999999996,0.11987999999999999,0.0005542401472989967,0.0005546158349139241,-0.0006776130269914921,-0.001650767919509908,0.003281554872753653,-0.000677842658562744,-0.0016521320518809279,0.003276131478195315,1,0,160,58.993062019348145
HEA,8,3,1,dephase,0.05,0.016666666666666666,3.9959999999999996,0.19979999999999998,0.0005542401472989967,0.0005548660249773303,-0.0011286164668702458,-0.0027507782976946035,0.005472765562529629,-0.0011292535941032078,-0.002754567555976139,0.005457692499599422,1,0,160,59.23662710189819
HEA,8,3,1,dephase,0.1,0.03333333333333333,3.9959999999999996,0.39959999999999996,0.0005542401472989967,0.000555032728952475,-0.0014290113917370321,-0.005499050964300451,0.010963120070829042,-0.0014300329150473967,-0.005514208017737326,0.010902746785491812,1,0,160,58.96561861038208
HEA,8,3,1,dephase,0.25,0.08333333333333333,3.9959999999999996,0.9989999999999999,0.0005542401472989967,0.0005551297201239005,-0.0016037446873064989,-0.013728882363183582,0.02754083704612387,-0.0016050313735644917,-0.013823614507391368,0.027161970935246377,1,0,160,58.108078718185425
HEA,8,3,1,dephase,0.5,0.16666666666666666,3.9959999999999996,1.9979999999999998,0.0005542401472989967,0.0005552139189732657,-0.001755407373634987,-0.027395593654380466,0.05471937746856191,-0.0017569490030893142,-0.027774528342109625,0.05324920971746061,1,0,160,56.40107822418213
HEA,8,3,1,depol,0.01,0.0033333333333333335,6.647586339772471,0.06647586339772471,0.0005542401472989967,0.0005398528725559237,0.026301427496449474,0.026240062163386986,0.02718833679960192,0.025958557519131564,0.025898783307583773,0.02682206089027535,1,0,160,82.99651622772217
HEA,8,3,1,depol,0.03,0.01,6.647586339772471,0.19942759019317413,0.0005542401472989967,0.0005120046507606794,0.079264363186307,0.07908035640294542,0.08192514691714556,0.07620432540685729,0.0760343250961667,0.07865907812518541,1,0,160,80.6382064819336
HEA,8,3,1,depol,0.05,0.016666666666666666,6.647586339772471,0.33237931698862355,0.0005542401472989967,0.0004853563806276331,0.1327146451835524,0.13240811576160613,0.13714937834033536,0.12428505406376267,0.12401658052217768,0.1281600161548034,1,0,160,84.04392552375793
HEA,8,3,1,depol,0.1,0.03333333333333333,6.647586339772471,0.6647586339772471,0.0005542401472989967,0.0004232287650929508,0.26968522302082737,0.2679191522483751,0.27740140891509263,0.236380173548433,0.23503037532291005,0.24224972660474567,1,0,160,80.43895983695984
HEA,8,3,1,depol,0.25,0.08333333333333333,6.647586339772471,1.6618965849431178,0.0005542401472989967,0.00027498356596680014,0.7008867359413745,0.6945825108099087,0.7182862723209681,0.503854841070446,0.5007171503280807,0.5124128475849181,1,0,160,83.14480113983154
HEA,8,3,1,depol,0.5,0.16666666666666666,6.647586339772471,3.3237931698862355,0.0005542401472989967,0.00012397429796636168,1.497523802045621,1.4837281168406882,1.5311302622631546,0.7763166407729011,0.7732093915282636,0.78370889975886,1,0,160,80.95886325836182
