sector_r,n,L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
2,8,4,amp_damp,0.01,0.0025,0.0009223852085536,8.699124832685233e-05,0.0049928508605044,0.019811593652099,0.0198258722710867,5.73748456934819e-17,2,7,40,4,0.01
2,8,4,amp_damp,0.03,0.0075,0.0008511264894308,8.027075359950447e-05,0.0149356577741225,0.058321819653812,0.0584484048395581,9.025654603166192e-17,2,7,40,4,0.03
2,8,4,amp_damp,0.05,0.0125,0.000785053996824,7.403937807588821e-05,0.0248212717615271,0.0953863440708613,0.0957326829990377,1.0809600230852083e-16,2,7,40,4,0.05
2,8,4,amp_damp,0.1,0.025,0.0006402944116244,6.0386929069755456e-05,0.0492850902616348,0.1820148141717282,0.1833481963377382,1.364210647772177e-16,2,7,40,4,0.1
2,8,4,amp_damp,0.2,0.05,0.0004225552917528,3.9851693170946086e-05,0.0971404156741245,0.3316478920104978,0.3365795687109382,1.7307285496990296e-16,2,7,40,4,0.2
2,8,4,amp_damp,0.3,0.075,0.0002757868688168,2.6009788283737613e-05,0.1435661563983788,0.4538102465846783,0.4640381692625424,2.018966051629226e-16,2,7,40,4,0.3
2,8,4,depol,0.01,0.0025,0.0008519484282116,8.034827162551429e-05,0.0188093515049693,0.0729723313984288,0.0513440276303484,7.981531492645883e-17,2,7,40,4,0.01
2,8,4,depol,0.03,0.0075,0.0006729427055185,6.346602857747385e-05,0.055467315731333,0.2027601499614202,0.1430292315144997,1.181974292235372e-16,2,7,40,4,0.03
2,8,4,depol,0.05,0.0125,0.000533785405026,5.034193771893106e-05,0.0908767072802575,0.3136910154635846,0.2219141227195752,1.400773959050423e-16,2,7,40,4,0.05
2,8,4,depol,0.1,0.025,0.0003047325267906,2.873968778497792e-05,0.1741845521537407,0.5258613968851407,0.37513015773156,1.6525263486601687e-16,2,7,40,4,0.1
2,8,4,depol,0.2,0.05,0.0001074300099151,1.0131852271289034e-05,0.3203228256702983,0.7683665454148945,0.5596605584610248,1.836671304805951e-16,2,7,40,4,0.2
2,8,4,depol,0.3,0.075,4.163710475908354e-05,3.92684497335782e-06,0.4425135261571561,0.8825957313488311,0.6584310666099796,1.8343657627592614e-16,2,7,40,4,0.3
2,8,4,dephase,0.01,0.0025,0.0009223388588483,8.698687703089986e-05,0.0167941578245063,0.0652597849756818,0.0,9.514050889814285e-17,2,7,40,4,0.01
2,8,4,dephase,0.03,0.0075,0.0008507377498227,8.023409110376131e-05,0.0496601290602186,0.1823477056095089,0.0,1.3729361639923947e-16,2,7,40,4,0.03
2,8,4,dephase,0.05,0.0125,0.0007840482427799,7.394452421332007e-05,0.0815800885445081,0.2835550684322364,0.0,1.6422654164002352e-16,2,7,40,4,0.05
2,8,4,dephase,0.1,0.025,0.0006369343960839,6.007004199962964e-05,0.1573745021904745,0.4806639879591373,0.0,1.830260761012727e-16,2,7,40,4,0.1
2,8,4,dephase,0.2,0.05,0.0004132814720562,3.89770681827194e-05,0.2928536261318448,0.7155761441741257,2.220446049250313e-15,2.0038516605125406e-16,2,7,40,4,0.2
2,8,4,dephase,0.3,0.075,0.0002616117620422,2.4672917069787236e-05,0.4088611071329251,0.8365586131352054,0.0,1.7284433979273244e-16,2,7,40,4,0.3
2,8,4,x_err,0.01,0.0025,0.0008191216597776,7.725244388943648e-05,0.0198027913434521,0.076349890285034,0.0755841875935405,0.0098010522912051,2,7,40,4,0.01
2,8,4,x_err,0.03,0.0075,0.0006006958643538,5.665303562659962e-05,0.0582468321629784,0.2092255030078131,0.203281333652904,0.0283910851823229,2,7,40,4,0.03
2,8,4,x_err,0.05,0.0125,0.0004449631725734,4.196644677907131e-05,0.0951893950994277,0.3197197463556672,0.3054459536528703,0.0456858019628886,2,7,40,4,0.05
2,8,4,x_err,0.1,0.025,0.0002196234615457,2.0715863955141936e-05,0.1813335870294549,0.5227417740391931,0.482668112281946,0.083661701701963,2,7,40,4,0.1
2,8,4,x_err,0.2,0.05,6.38339746595025e-05,6.023815032519149e-06,0.3296641034747898,0.7410634293754045,0.6584310666099817,0.1400650505672629,2,7,40,4,0.2
2,8,4,x_err,0.3,0.075,2.2312920707794747e-05,2.107292033343243e-06,0.4507098378824156,0.8399009669082464,0.7379695477318982,0.1755469833701101,2,7,40,4,0.3
