seed,n,L,sector_r,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
1,8,4,1,amp_damp,0.01,0.0025,5.4057966431793805e-05,8.402400431427205e-06,0.0025,0.0099625624609376,0.0099625624609374,5.73748456934819e-17,2,7,40,4,0.01
1,8,4,1,amp_damp,0.03,0.0075,5.192788004200633e-05,8.071314377291016e-06,0.0075,0.0296641843359373,0.0296641843359373,9.025654603166192e-17,2,7,40,4,0.03
1,8,4,1,amp_damp,0.05,0.0125,4.987160024420279e-05,7.751700314819787e-06,0.0125,0.0490702880859372,0.0490702880859372,1.0809600230852083e-16,2,7,40,4,0.05
1,8,4,1,amp_damp,0.1,0.025,4.503948282243185e-05,7.000629044674549e-06,0.025,0.0963121093750003,0.0963121093750001,1.364210647772177e-16,2,7,40,4,0.1
1,8,4,1,amp_damp,0.2,0.05,3.6588559512263536e-05,5.687075347516748e-06,0.0500000000000001,0.1854937500000005,0.1854937500000004,1.7307285496990296e-16,2,7,40,4,0.2
1,8,4,1,amp_damp,0.3,0.075,2.955904041444089e-05,4.594454995717283e-06,0.075,0.2679058593749999,0.2679058593749996,2.018966051629226e-16,2,7,40,4,0.3
1,8,4,1,depol,0.01,0.0025,4.891475330260941e-05,7.603062070425617e-06,0.0165394796642953,0.064346885146609,0.05155545379683,7.981531492645883e-17,2,7,40,4,0.01
1,8,4,1,depol,0.03,0.0075,3.849320689188636e-05,5.983329284776888e-06,0.0488658534211349,0.1801084042384908,0.1447537389807186,1.181974292235372e-16,2,7,40,4,0.03
1,8,4,1,depol,0.05,0.0125,3.0309065736929447e-05,4.711310161233136e-06,0.0802118366585569,0.2806217384164855,0.2262625547445147,1.400773959050423e-16,2,7,40,4,0.05
1,8,4,1,depol,0.1,0.025,1.6717516952033375e-05,2.5987685638897687e-06,0.1544636469934086,0.4782316666947949,0.388885717738509,1.6525263486601687e-16,2,7,40,4,0.1
1,8,4,1,depol,0.2,0.05,5.148403711214081e-06,8.004336893696896e-07,0.2866834516201808,0.7183354199465444,0.5951860169600887,1.836671304805951e-16,2,7,40,4,0.2
1,8,4,1,depol,0.3,0.075,1.6147452339017882e-06,2.5108354892432725e-07,0.3996137237499999,0.8424988207388627,0.7122515464576918,1.8343657627592614e-16,2,7,40,4,0.3
1,8,4,1,dephase,0.01,0.0025,5.297251191694868e-05,8.2339669000009e-06,0.009975,0.0393069564245633,0.0,9.514050889814285e-17,2,7,40,4,0.01
1,8,4,1,dephase,0.03,0.0075,4.884004294981479e-05,7.5921380040710575e-06,0.0297749999999995,0.1138854984574246,0.0,1.3729361639923947e-16,2,7,40,4,0.03
1,8,4,1,dephase,0.05,0.0125,4.4993027210175296e-05,6.994592925785203e-06,0.0493749999999995,0.1833481963377367,0.0,1.6422654164002352e-16,2,7,40,4,0.05
1,8,4,1,dephase,0.1,0.025,3.651407863833767e-05,5.677394302715695e-06,0.0975000000000003,0.3365795687109388,0.0,1.830260761012727e-16,2,7,40,4,0.1
1,8,4,1,dephase,0.2,0.05,2.3646789572311545e-05,3.677881119393888e-06,0.1900000000000008,0.5695327900000018,2.220446049250313e-15,2.0038516605125406e-16,2,7,40,4,0.2
1,8,4,1,dephase,0.3,0.075,1.494134417754288e-05,2.324576443636336e-06,0.2774999999999996,0.727509474960937,0.0,1.7284433979273244e-16,2,7,40,4,0.3
1,8,4,1,x_err,0.01,0.0025,4.700710360742856e-05,7.306442125927446e-06,0.0198044029525333,0.0763741809060414,0.076048266372962,0.0098010522912051,2,7,40,4,0.01
1,8,4,1,x_err,0.03,0.0075,3.419447683858596e-05,5.314820392537039e-06,0.0582609066462815,0.2094140593478888,0.206889265258459,0.0283910851823229,2,7,40,4,0.03
1,8,4,1,x_err,0.05,0.0125,2.4920097347353203e-05,3.873133043031052e-06,0.0952273282896153,0.3201724710513025,0.3141353262596186,0.0456858019628886,2,7,40,4,0.05
1,8,4,1,x_err,0.1,0.025,1.1396563963225982e-05,1.7708847326360503e-06,0.1814742322387295,0.5240121610742634,0.5074050681952675,0.083661701701963,2,7,40,4,0.1
1,8,4,1,x_err,0.2,0.05,2.483571815214462e-06,3.8555052375846353e-07,0.3301466302904337,0.7436822871472724,0.7122515464576937,0.1400650505672629,2,7,40,4,0.2
1,8,4,1,x_err,0.3,0.075,5.760514264532616e-07,8.927174753683581e-08,0.451638925779139,0.8431497217927622,0.8098551319514037,0.1755469833701101,2,7,40,4,0.3
2,8,4,1,amp_damp,0.01,0.0025,0.0003271770982912,2.726978455795481e-05,0.0025,0.0099625624609376,0.0099625624609374,5.73748456934819e-17,1,0,40,4,0.01
2,8,4,1,amp_damp,0.03,0.0075,0.0003142850949452,2.619525288809227e-05,0.0075,0.0296641843359373,0.0296641843359373,9.025654603166192e-17,1,0,40,4,0.03
2,8,4,1,amp_damp,0.05,0.0125,0.0003018397940593,2.5157953285863605e-05,0.0125,0.0490702880859372,0.0490702880859372,1.0809600230852083e-16,1,0,40,4,0.05
2,8,4,1,amp_damp,0.1,0.025,0.0002725941849287,2.272036989625005e-05,0.025,0.0963121093750003,0.0963121093750001,1.364210647772177e-16,1,0,40,4,0.1
2,8,4,1,amp_damp,0.2,0.05,0.0002214463384778,1.8457263582865837e-05,0.0500000000000001,0.1854937500000005,0.1854937500000004,1.7307285496990296e-16,1,0,40,4,0.2
2,8,4,1,amp_damp,0.3,0.075,0.0001789013111189,1.4911191024152202e-05,0.075,0.2679058593749999,0.2679058593749996,2.018966051629226e-16,1,0,40,4,0.3
2,8,4,1,depol,0.01,0.0025,0.0002963586443416,2.468048875729394e-05,0.0165394796642953,0.064346885146609,0.05155545379683,7.981531492645883e-17,1,0,40,4,0.01
2,8,4,1,depol,0.03,0.0075,0.0002337158013926,1.9430712557980057e-05,0.0488658534211349,0.1801084042384908,0.1447537389807186,1.181974292235372e-16,1,0,40,4,0.03
2,8,4,1,depol,0.05,0.0125,0.0001844275805948,1.5306557590040938e-05,0.0802118366585569,0.2806217384164855,0.2262625547445147,1.400773959050423e-16,1,0,40,4,0.05
2,8,4,1,depol,0.1,0.025,0.0001023059369734,8.453218119435327e-06,0.1544636469934086,0.4782316666947949,0.388885717738509,1.6525263486601687e-16,1,0,40,4,0.1
2,8,4,1,depol,0.2,0.05,3.1900753326832565e-05,2.611105936665884e-06,0.2866834516201808,0.7183354199465444,0.5951860169600887,1.836671304805951e-16,1,0,40,4,0.2
2,8,4,1,depol,0.3,0.075,1.0144681311258736e-05,8.220150278494145e-07,0.3996137237499999,0.8424988207388627,0.7122515464576918,1.8343657627592614e-16,1,0,40,4,0.3
2,8,4,1,dephase,0.01,0.0025,0.0003216108226135,2.6739311536237155e-05,0.009975,0.0393069564245633,0.0,9.514050889814285e-17,1,0,40,4,0.01
2,8,4,1,dephase,0.03,0.0075,0.000298387098329,2.4686711157871917e-05,0.0297749999999995,0.1138854984574246,0.0,1.3729361639923947e-16,1,0,40,4,0.03
