channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
gen_amp_damp,0.01,0.0025,0.0003363462562232,2.7293168941884348e-05,0.0069786637673936,0.0275581756811515,0.0274206148466703,2.201154829233925e-16,2,0,50,5,0.01
gen_amp_damp,0.03,0.0075,0.0003008434140586,2.4412253661320077e-05,0.0208086692894022,0.080114193873886,0.0789355183808542,2.248024824219201e-16,2,0,50,5,0.03
gen_amp_damp,0.05,0.0125,0.0002692091706187,2.18452598726842e-05,0.0344704484561522,0.1294487100751223,0.1263306099383658,2.211536275223082e-16,2,0,50,5,0.05
gen_amp_damp,0.1,0.025,0.0002043249027141,1.658015805328634e-05,0.0679008644953118,0.2400725144700379,0.2290172575659579,2.2301691767205444e-16,2,0,50,5,0.1
gen_amp_damp,0.2,0.05,0.0001187073913191,9.632635493863657e-06,0.1317533858521823,0.4162675504452396,0.3813076917938741,2.1958274976783955e-16,2,0,50,5,0.2
gen_amp_damp,0.3,0.075,6.975321340316212e-05,5.660197497153855e-06,0.191774692630483,0.5469413728801853,0.4842292956056976,2.203927422124773e-16,2,0,50,5,0.3
coh_overrot,0.01,0.0025,0.0003556990911606,2.8863574985296695e-05,9.992007221626409e-16,3.885780586188048e-15,3.552713678800501e-15,6.441597429981589e-17,2,0,50,5,0.01
coh_overrot,0.03,0.0075,0.0003556990911606,2.8863574985296746e-05,3.3306690738754696e-16,1.4432899320127037e-15,0.0,1.099561057381035e-16,2,0,50,5,0.03
coh_overrot,0.05,0.0125,0.0003556990911606,2.8863574985296437e-05,8.881784197001252e-16,3.552713678800501e-15,3.552713678800501e-15,1.3883530356175554e-16,2,0,50,5,0.05
coh_overrot,0.1,0.025,0.0003556990911606,2.8863574985296536e-05,-6.661338147750939e-16,-2.4424906541753444e-15,-7.105427357601002e-15,1.8376401025548988e-16,2,0,50,5,0.1
coh_overrot,0.2,0.05,0.0003556990911606,2.8863574985296925e-05,-4.440892098500626e-16,-2.220446049250313e-15,-7.105427357601002e-15,2.337699893237396e-16,2,0,50,5,0.2
coh_overrot,0.3,0.075,0.0003556990911606,2.8863574985296983e-05,-6.661338147750939e-16,-1.9984014443252818e-15,-1.3322676295501878e-15,2.591081457037128e-16,2,0,50,5,0.3
