channel,gL,gamma,m2_pred_mean,m2_pred_sem,m2_L_mean,m2_L_sem,kappa_empirical,active_ell,active_j,tau_median,n_init,n_input,n_calibration
amp_damp,0.01,0.0025,3.9643112587192107e-07,4.203217994454472e-08,3.018013111895336e-08,3.2001532942371176e-09,0.07612956992863358,2,0,0.9684843229646174,40,4,300
amp_damp,0.03,0.0075,3.8081025439918445e-07,4.0375954593450165e-08,2.980610224219607e-08,3.160486617382278e-09,0.07827021961165945,2,0,0.9684843229646174,40,4,300
amp_damp,0.05,0.0125,3.65730639512462e-07,3.87771167498821e-08,2.941422165799514e-08,3.118927341450196e-09,0.08042591590687023,2,0,0.9684843229646174,40,4,300
amp_damp,0.1,0.025,3.3029457196681456e-07,3.501995675309686e-08,2.836331323627013e-08,3.007480081603303e-09,0.08587278037109207,2,0,0.9684843229646174,40,4,300
amp_damp,0.2,0.05,2.6832019032345685e-07,2.8449033858340377e-08,2.6012886593445047e-08,2.758230050675926e-09,0.0969471829983678,2,0,0.9684843229646174,40,4,300
amp_damp,0.3,0.075,2.167695983528197e-07,2.2983308246629644e-08,2.344040555793613e-08,2.4854419056564656e-09,0.10813511551460243,2,0,0.9684843229646174,40,4,300
depol,0.01,0.0025,3.5873877350671977e-07,3.803579410662245e-08,2.8952186401682346e-08,3.069932782760227e-09,0.08070548415681647,2,0,0.9684843229646174,40,4,300
depol,0.03,0.0075,2.823477114031254e-07,2.99363219437565e-08,2.592259123519915e-08,2.7486616486062085e-09,0.09181087782286945,2,0,0.9684843229646174,40,4,300
depol,0.05,0.0125,2.2234924651104848e-07,2.357489846270561e-08,2.279967671515517e-08,2.4175063475256728e-09,0.10253993243922353,2,0,0.9684843229646174,40,4,300
depol,0.1,0.025,1.2268670083343615e-07,1.3008033803834022e-08,1.5581692569052227e-08,1.652137080499452e-09,0.12700392514594136,2,0,0.9684843229646174,40,4,300
depol,0.2,0.05,3.78134056488144e-08,4.009220686321703e-09,6.215051863277124e-09,6.589730218200388e-10,0.16436107133534505,2,0,0.9684843229646174,40,4,300
depol,0.3,0.075,1.1870072248339667e-08,1.2585414719886278e-09,2.2403106261071695e-09,2.375346447748558e-10,0.1887360564650762,2,0,0.9684843229646174,40,4,300
dephase,0.01,0.0025,3.885520073503692e-07,4.119678507797582e-08,2.915686560132242e-08,3.0916482850059097e-09,0.07503980175047915,2,0,0.9684843229646174,40,4,300
dephase,0.03,0.0075,3.583887388579695e-07,3.7998681179848364e-08,2.687613886376533e-08,2.8498003894720856e-09,0.0749915830207389,2,0,0.9684843229646174,40,4,300
dephase,0.05,0.0125,3.30294571966806e-07,3.501995675309804e-08,2.4754539164533183e-08,2.624827679972339e-09,0.0749468543098582,2,0,0.9684843229646174,40,4,300
dephase,0.1,0.025,2.6832019032347644e-07,2.8449033858343242e-08,2.0083540744186877e-08,2.129523711320683e-09,0.07484915958048083,2,0,0.9684843229646174,40,4,300
dephase,0.2,0.05,1.741023312935804e-07,1.8459449927404913e-08,1.3006464870683923e-08,1.379097788167261e-09,0.07470586277648257,2,0,0.9684843229646174,40,4,300
dephase,0.3,0.075,1.1020870942691786e-07,1.1685036829283484e-08,8.223495357836297e-09,8.719409998554315e-10,0.07461747261716645,2,0,0.9684843229646174,40,4,300
x_err,0.01,0.0025,3.4472247853853986e-07,3.654974341673205e-08,2.8791660827733703e-08,3.052909598062794e-09,0.0835212747071114,2,0,0.9684843229646174,40,4,300
x_err,0.03,0.0075,2.507531828997716e-07,2.6586778285008743e-08,2.5059863082726525e-08,2.657202258403812e-09,0.09993836486112796,2,0,0.9684843229646174,40,4,300
x_err,0.05,0.0125,1.8272943965846052e-07,1.93747886131314e-08,2.1067693126461392e-08,2.2339189564330256e-09,0.11529446577321642,2,0,0.9684843229646174,40,4,300
x_err,0.1,0.025,8.353716807299807e-08,8.858342438514147e-09,1.2335624313879899e-08,1.3081203666681465e-09,0.14766629751083427,2,0,0.9684843229646174,40,4,300
x_err,0.2,0.05,1.8177346796052392e-08,1.928370107931901e-09,3.4323995076440746e-09,3.64136043199701e-10,0.18882841077717102,2,0,0.9684843229646174,40,4,300
x_err,0.3,0.075,4.2046769938747175e-09,4.464017849404199e-10,8.848429777296476e-10,9.394252528690499e-11,0.2104425569475771,2,0,0.9684843229646174,40,4,300
