L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh
3,amp_damp,0.01,0.0033333333333333,0.0001144318681285,8.778990804396025e-06,0.0033333333333335,0.0099667037037037,0.0099667037037036,6.573448002853583e-17,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.0200334075934121,0.99999999999989,0.01,0.0200334075934121,0.99999999999989
3,amp_damp,0.03,0.01,0.0001099154023303,8.432496315060071e-06,0.0100000000000001,0.029701,0.0297009999999999,9.991808845015623e-17,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.0603020151211541,0.99999999999989,0.03,0.0603020151211541,0.99999999999989
3,amp_damp,0.05,0.0166666666666666,0.0001055484728197,8.09747395945651e-06,0.0166666666666669,0.0491712962962969,0.0491712962962966,1.1862897961671426e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.1008427098989439,0.99999999999989,0.05,0.1008427098989439,0.99999999999989
3,amp_damp,0.1,0.0333333333333333,9.525940080473236e-05,7.308116326104594e-06,0.0333333333333335,0.096703703703704,0.0967037037037039,1.5038239879158064e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.2034093100538447,0.99999999999989,0.1,0.2034093100538447,0.99999999999989
3,amp_damp,0.2,0.0666666666666666,7.717347318440183e-05,5.920599064833765e-06,0.0666666666666667,0.1869629629629631,0.186962962962963,1.9237589279666251e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.413957228921465,0.99999999999989,0.2,0.413957228921465,0.99999999999989
3,amp_damp,0.3,0.0999999999999999,6.204437912685063e-05,4.759924335125932e-06,0.1,0.2710000000000002,0.2710000000000002,2.246614762286373e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.6321630939467154,0.99999999999989,0.3,0.6321630939467154,0.99999999999989
3,depol,0.01,0.0033333333333333,0.0001030855329101,7.908521990286693e-06,0.0219964606531095,0.0643814396077883,0.051583183039204,9.05630960304012e-17,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.1244539550757449,6.647586339771916,0.01,0.1244539550757449,6.647586339771916
3,depol,0.03,0.01,8.036676158489456e-05,6.165581952574559e-06,0.0646596858515536,0.1803792667794008,0.144972583597159,1.3122005957695202e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.3734123377202359,6.647586339771916,0.03,0.3734123377202359,6.647586339771916
3,depol,0.05,0.0166666666666666,6.265162730214509e-05,4.80651123643307e-06,0.1056041344070536,0.2812776099895097,0.2267965727389351,1.5349260247036396e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,0.6224233598029119,6.647586339771916,0.05,0.6224233598029119,6.647586339771916
3,depol,0.1,0.0333333333333333,3.361415011645652e-05,2.5788123500563043e-06,0.2008548591264759,0.4801003762359606,0.3904443346034496,1.7582334690470794e-16,1,0,50,5,8,1,42,0.0001167474453925,0.0001167474453925,1.245065902567893,6.647586339771916,0.1,1.245065902567893,6.647586339771916
